ingredient_id,unit_norm,example_recipe_id,count_occurrences,example_qty,reason,suggested_column_to_fill,notes
parsley,tsp,chili-con-carne-turkey,1,1/8,missing-nutrition,calories_per_unit,
peanut-butter,cup,gluten-free-peanut-butter-cookies,1,1,missing-nutrition,calories_per_unit,
peanuts,cup,gluten-free-peanut-butter-cookies,1,1/2,missing-grams-mapping,grams_per_cup,nutrition unit is oz; recipe uses cup
pear-halves,pint,sweet-potatoes-pork-chops-pears,1,1,missing-grams-mapping,grams_per_pint,nutrition unit is count; recipe uses pint
peas,cup,slow-cooker-beef-stew,1,1,missing-nutrition,calories_per_unit,
peas,lb,lorenes-vegetable-soup,1,1,missing-nutrition,calories_per_unit,
pimiento,oz,holiday-potatoes,1,2,missing-nutrition,calories_per_unit,
pimiento,tbsp,chicken-rice-casserole,1,2,missing-grams-mapping,grams_per_tbsp,nutrition unit is oz; recipe uses tbsp
pinto-beans,can,lorenes-vegetable-soup,1,1,missing-nutrition,calories_per_unit,
pork-chop,count,sweet-potatoes-pork-chops-pears,1,4,missing-nutrition,calories_per_unit,
potato,count,lorenes-vegetable-soup,1,3,missing-nutrition,calories_per_unit,
potato,cup,creamy-leek-potato-soup,1,3,missing-grams-mapping,grams_per_cup,nutrition unit is count; recipe uses cup
potato,lb,holiday-potatoes,1,3,missing-nutrition,calories_per_unit,
potato,medium,slow-cooker-beef-stew,1,4,missing-grams-mapping,grams_per_medium,nutrition unit is count; recipe uses medium
powdered-sugar,cup,lemon-cake,3,1,missing-nutrition,calories_per_unit,
prepared-mustard,tbsp,barbecued-hamburger,1,1,missing-nutrition,calories_per_unit,
psyllium-husk,tbsp,basic-roll-dough,1,1,missing-nutrition,calories_per_unit,
pumpkin-puree,cup,vegan-pumpkin-bread,1,1 1/4,missing-nutrition,calories_per_unit,
pumpkin-spice,tsp,vegan-pumpkin-bread,2,2,missing-nutrition,calories_per_unit,
rice,cup,chicken-rice-casserole,2,1 1/2,missing-nutrition,calories_per_unit,
rice-flour,cup,sweet-potato-pizza-crust,1,3/4,missing-nutrition,calories_per_unit,
rotel,oz,mexican-chicken,1,10,missing-nutrition,calories_per_unit,
salsa,oz,layered-dip,1,8,missing-nutrition,calories_per_unit,
salt,tbsp,chili-con-carne-turkey,1,1 1/2,missing-nutrition,calories_per_unit,
salt,tsp,anti-histamine-turkey-kale-sweet-potato-skillet,31,1/4,missing-nutrition,calories_per_unit,
sausage,lb,butternut-squash-casserole,2,1,missing-nutrition,calories_per_unit,
seasoned-salt,tbsp,slow-cooker-beef-stew,1,1,missing-nutrition,calories_per_unit,
sesame-seeds,tsp,veggie-teriyaki-stir-fry-noodles,1,1,missing-nutrition,calories_per_unit,
shallot,count,apple-cider-brisket,1,2,missing-nutrition,calories_per_unit,
shortening,cup,snickerdoodles,2,1,missing-nutrition,calories_per_unit,
shredded-coconut,cup,nanaimo-bars,1,1,missing-nutrition,calories_per_unit,
soy_sauce,tsp,creamy-garlic-chicken,1,1,missing-nutrition,calories_per_unit,
stew-beef,lb,beef-noodles,2,1 1/2,missing-nutrition,calories_per_unit,
stewed-tomatoes,can,chili-con-carne-turkey,1,1,missing-nutrition,calories_per_unit,
sugar,cup,gluten-free-peanut-butter-cookies,2,1,missing-nutrition,calories_per_unit,
sugar,tbsp,blintzes,2,1,missing-nutrition,calories_per_unit,
sugar,tsp,barbecued-hamburger,1,1,missing-nutrition,calories_per_unit,
sweet-pickles,tbsp,bun-steads,1,2,missing-grams-mapping,grams_per_tbsp,nutrition unit is oz; recipe uses tbsp
sweet-potato,count,sweet-potatoes-pork-chops-pears,1,4,missing-nutrition,calories_per_unit,
sweet-potato,cup,baked-sweet-potatoes,1,4,missing-grams-mapping,grams_per_cup,nutrition unit is count; recipe uses cup
sweet-potato,medium,anti-histamine-turkey-kale-sweet-potato-skillet,2,1,missing-grams-mapping,grams_per_medium,nutrition unit is count; recipe uses medium
tapioca-starch,cup,sweet-potato-pizza-crust,1,1/3,missing-nutrition,calories_per_unit,
tapioca-starch,tbsp,lemon-cake,1,2,missing-nutrition,calories_per_unit,
teriyaki-sauce,cup,veggie-teriyaki-stir-fry-noodles,1,1/2,missing-nutrition,calories_per_unit,
thyme,sprig,apple-cider-brisket,1,6,missing-nutrition,calories_per_unit,
thyme,tbsp,anti-histamine-turkey-kale-sweet-potato-skillet,1,1,missing-nutrition,calories_per_unit,
toasted-sesame-oil,tsp,veggie-teriyaki-stir-fry-noodles,1,1,missing-nutrition,calories_per_unit,
tomato-paste,tbsp,slow-cooker-beef-stew,1,2,missing-nutrition,calories_per_unit,
tomato-sauce,can,chili-con-carne-turkey,3,1,missing-grams-mapping,grams_per_can,nutrition unit is cup; recipe uses can
tomato-sauce,pint,italian-soup,1,1,missing-nutrition,calories_per_unit,
tomato-soup,can,mrs-burrows-chili,1,2,missing-nutrition,calories_per_unit,
tomatoes,lb,original-chili-con-carne,1,1,missing-nutrition,calories_per_unit,
tuna,can,bun-steads,1,1,missing-nutrition,calories_per_unit,
turmeric-powder,tsp,turmeric-chicken-curry,1,1/2,missing-nutrition,calories_per_unit,
vanilla-extract,tsp,chocolate-chip-cookies-gf,8,1,missing-nutrition,calories_per_unit,
vanilla-pudding-powder,tbsp,nanaimo-bars,1,5,missing-grams-mapping,grams_per_tbsp,nutrition unit is count; recipe uses tbsp
vegan-butter,tbsp,blintzes,2,2,missing-nutrition,calories_per_unit,
vegetable-oil,tbsp,collards-canadian-bacon,1,1,missing-nutrition,calories_per_unit,
velveeta,lb,mac-and-cheese,1,3/4,missing-nutrition,calories_per_unit,
velveeta,oz,chicken-roll-ups,2,8,missing-nutrition,calories_per_unit,
vinegar,tbsp,barbecued-hamburger,1,1,missing-nutrition,calories_per_unit,
water,cup,beef-noodles,8,6,missing-nutrition,calories_per_unit,
watercress,cup,watercress-parsley-soup,1,2,missing-nutrition,calories_per_unit,
wheat-flour,cup,basic-roll-dough,12,3 1/2,missing-nutrition,calories_per_unit,
wheat-flour,tbsp,creamy-garlic-chicken,2,3,missing-nutrition,calories_per_unit,
wheat-flour,tsp,baked-sweet-potatoes,1,1,missing-nutrition,calories_per_unit,
whipped-cream,cup,orange-sherbet-salad,1,1,missing-nutrition,calories_per_unit,
white-pepper,tsp,lorenes-vegetable-soup,1,1/2,missing-nutrition,calories_per_unit,
white-sugar,cup,basic-roll-dough,7,1/4,missing-nutrition,calories_per_unit,
worcestershire_sauce,tbsp,chili-con-carne-turkey,2,1,missing-nutrition,calories_per_unit,
worcestershire_sauce,tsp,original-chili-con-carne,1,1,missing-nutrition,calories_per_unit,
xanthan-gum,tsp,basic-roll-dough,1,1,missing-nutrition,calories_per_unit,
